from_node,to_node,distance_m,road_type,max_speed_kmh,oneway
267193360,267193359,35.00,residential,30,0
267193360,2432410424,31.67,residential,30,0
2432410424,267193360,31.67,residential,30,0
2432410424,267193361,50.53,residential,30,0
267193361,2432410424,50.53,residential,30,0
267193361,6436552645,38.73,residential,30,0
6436552645,267193361,38.73,residential,30,0
6436552645,10248598183,10.08,residential,30,0
10248598183,6436552645,10.08,residential,30,0
10248598183,267193362,25.07,residential,30,0
267193362,10248598183,25.07,residential,30,0
267193362,9865315040,12.01,residential,30,0
9865315040,267193362,12.01,residential,30,0
9865315040,267193363,11.33,residential,30,0
267193363,9865315040,11.33,residential,30,0
267193363,267193364,11.77,residential,30,0
267193364,267193363,11.77,residential,30,0
267193364,309864520,50.32,residential,30,0
309864520,267193364,50.32,residential,30,0
267193248,267193394,59.96,residential,30,1
267193394,9862064671,17.75,residential,30,1
9862064671,6998127075,14.11,residential,30,1
6998127075,267193393,17.97,residential,30,1
267193393,9862064672,26.50,residential,30,1
9862064672,267193392,22.29,residential,30,1
267193392,9862064673,19.62,residential,30,1
9862064673,267193391,20.35,residential,30,1
267193391,267193390,107.63,residential,30,1
267193390,9861987649,24.81,residential,30,1
9861987649,267193389,18.99,residential,30,1
267193389,6998127076,26.59,residential,30,1
6998127076,267193388,10.86,residential,30,1
267193388,6998127077,10.91,residential,30,1
6998127077,947950319,16.24,residential,30,1
947950319,6998127050,16.08,residential,30,1
6998127050,6998127078,16.50,residential,30,1
6998127078,267193387,14.18,residential,30,1
267193387,6998127079,14.75,residential,30,1
6998127079,6998127048,11.49,residential,30,1
6998127048,267193386,16.16,residential,30,1
267193386,6998127080,28.38,residential,30,1
6998127080,267193385,96.10,residential,30,1
267193385,267193383,63.17,residential,30,1
6702699398,267196272,7.89,secondary,60,1
267196272,6702699423,6.72,secondary,60,1
6702699423,6351660223,8.31,secondary,60,1
6351660223,6702699399,67.03,secondary,60,1
6702699399,12246248280,74.34,secondary,60,1
12246248280,6702699400,18.12,secondary,60,1
6702699400,10255017506,45.59,secondary,60,1
10255017506,4779999166,4.32,secondary,60,1
4779999166,6702699401,56.45,secondary,60,1
6702699401,10255038975,31.66,secondary,60,1
10255038975,6702699402,33.42,secondary,60,1
6702699402,10255038959,55.43,secondary,60,1
10255038959,6702699403,31.60,secondary,60,1
6702699403,10255043833,60.59,secondary,60,1
10255043833,6702699404,26.97,secondary,60,1
6702699404,12246307140,43.74,secondary,60,1
12246307140,1762989534,12.46,secondary,60,1
1762989534,249786861,11.32,secondary,60,1
249786861,6702699406,10.04,secondary,60,1
6702699406,6702699407,13.86,secondary,60,1
6702699407,6702699408,10.31,secondary,60,1
249786848,1762989522,33.15,secondary,60,1
1762989522,6636468150,60.88,secondary,60,1
6636468150,10255172732,15.40,secondary,60,1
10255172732,10255172745,81.47,secondary,60,1
10255172745,10255172729,34.48,secondary,60,1
10255172729,3749161033,76.21,secondary,60,1
3749161033,3749161037,40.42,secondary,60,1
3749161037,12247935601,86.86,secondary,60,1
12247935601,267251014,17.32,secondary,60,1
267251014,6539240963,6.35,secondary,60,1
6539240963,3749161046,18.05,secondary,60,1
3749161046,6643539678,28.23,secondary,60,1
6643539678,6643539680,29.19,secondary,60,1
6643539680,6643539682,21.66,secondary,60,1
6643539682,5792664581,81.37,secondary,60,1
5792664581,5809063024,14.29,secondary,60,1
5809063024,5434484041,10.55,secondary,60,1
6666328386,6666317467,6.32,secondary,60,1
6666317467,6666317463,23.68,secondary,60,1
6666317463,13551113086,98.98,secondary,60,1
13551113086,6666317462,8.10,secondary,60,1
6666317462,10255012751,25.79,secondary,60,1
10255012751,267196314,5.38,secondary,60,1
267196314,10255012753,7.96,secondary,60,1
10255012753,7428442891,34.34,secondary,60,1
7428442891,1762989501,39.25,secondary,60,1
1762989501,6666317456,19.42,secondary,60,1
6666317456,6666317457,8.85,secondary,60,1
6666317457,6666317458,8.21,secondary,60,1
267196304,5483954466,7.19,secondary,60,0
5483954466,267196304,7.19,secondary,60,0
5483954466,621248480,7.20,secondary,60,0
621248480,5483954466,7.20,secondary,60,0
621248480,5483954465,7.20,secondary,60,0
5483954465,621248480,7.20,secondary,60,0
5483954465,267196290,7.20,secondary,60,0
267196290,5483954465,7.20,secondary,60,0
267196290,12888092189,8.44,secondary,60,0
12888092189,267196290,8.44,secondary,60,0
12888092189,267196291,5.19,secondary,60,0
267196291,12888092189,5.19,secondary,60,0
267196304,267196289,30.17,tertiary,30,1
267196289,11823890660,7.72,tertiary,30,1
11823890660,6385537595,10.73,tertiary,30,1
6385537595,6742341880,83.00,tertiary,30,1
6742341880,6470072753,15.63,tertiary,30,1
6470072753,6742341881,59.67,tertiary,30,1
6742341881,6385537602,17.69,tertiary,30,1
6385537602,2729066836,37.23,tertiary,30,1
2729066836,6742341896,17.12,tertiary,30,1
6742341896,6742341897,12.47,tertiary,30,1
267196305,6884751017,9.65,service,20,1
6884751017,10264318191,15.74,service,20,1
10264318191,267196306,15.63,service,20,1
267196306,267196307,24.13,service,20,1
267196307,6702699435,12.10,service,20,1
6702699435,267196308,5.82,service,20,1
267253204,3749161020,123.16,secondary,60,0
3749161020,267253204,123.16,secondary,60,0
3749161020,2431986222,13.84,secondary,60,0
2431986222,3749161020,13.84,secondary,60,0
2431986222,12149488813,7.35,secondary,60,0
12149488813,2431986222,7.35,secondary,60,0
12149488813,10255011765,36.36,secondary,60,0
10255011765,12149488813,36.36,secondary,60,0
10255011765,10255011747,58.70,secondary,60,0
10255011747,10255011765,58.70,secondary,60,0
10255011747,6742341855,23.90,secondary,60,0
6742341855,10255011747,23.90,secondary,60,0
267196314,6666317460,8.97,residential,30,0
6666317460,267196314,8.97,residential,30,0
6666317460,9857786694,42.06,residential,30,0
9857786694,6666317460,42.06,residential,30,0
9857786694,1762989532,25.94,residential,30,0
1762989532,9857786694,25.94,residential,30,0
1762989532,9857786695,26.18,residential,30,0
9857786695,1762989532,26.18,residential,30,0
9857786695,267196315,28.80,residential,30,0
267196315,9857786695,28.80,residential,30,0
267196315,1762989518,72.88,residential,30,0
1762989518,267196315,72.88,residential,30,0
1762989518,9857786696,6.84,residential,30,0
9857786696,1762989518,6.84,residential,30,0
9857786696,1762989548,5.88,residential,30,0
