+id,lat,lon
267249929,28.6233679,77.2131931
267249930,28.6232603,77.2131566
267249931,28.6230982,77.2130019
267249932,28.6230299,77.2127965
267249934,28.623943,77.2132512
267249935,28.6274399,77.2076452
267249939,28.627308,77.2075964
267249954,28.6215753,77.2154665
267249955,28.6216983,77.2154693
267249956,28.6217685,77.2154989
267249957,28.62183,77.2155476
267249958,28.6218788,77.2156122
267249959,28.6219251,77.2157512
267249960,28.6219119,77.215909
267249961,28.6218779,77.2159871
267249962,28.6217639,77.2161016
267249963,28.6216885,77.2161309
267249964,28.6215311,77.2161176
267249965,28.6214506,77.2160678
267249966,28.6213486,77.2159038
267249967,28.621334,77.2158063
267249968,28.6213438,77.2157122
267249969,28.6213762,77.215625
267250978,28.6264956,77.223376
267250979,28.6263658,77.2230516
267250980,28.6263235,77.2225473
267250981,28.6264435,77.2192551
267250982,28.6264431,77.2182676
267250983,28.6263703,77.2179814
267250985,28.6260795,77.2172962
267250986,28.6260002,77.2170628
267250987,28.6259539,77.2166035
267250988,28.6260333,77.2162119
267250989,28.6261089,77.2160312
267250990,28.6262207,77.2159392
267250991,28.6266526,77.2158793
267250992,28.6266977,77.2158523
267250993,28.6268283,77.2156953
267250994,28.6269871,77.2154323
267250995,28.6271859,77.215061
267250996,28.6272315,77.2148419
267250997,28.6272169,77.2147629
267250998,28.625943,77.2117344
267250999,28.6257292,77.2114352
267251001,28.6292699,77.2172213
267251002,28.6298785,77.2165965
267251003,28.6281959,77.2127589
267251004,28.6268375,77.2117102
267251005,28.6267391,77.2114205
267251006,28.626771,77.2107525
267251007,28.628692,77.2106225
267251008,28.6261776,77.2107216
267251009,28.6264589,77.2130518
267251010,28.6261804,77.2132447
267251012,28.6221762,77.2168195
267251013,28.6224988,77.2170244
267251014,28.624431,77.2191231
267251015,28.6244564,77.2171959
267251016,28.6221029,77.2158234
267251018,28.6251647,77.215744
267251019,28.6226532,77.221086
267251572,28.6212385,77.2199173
267251573,28.6234111,77.2250182
267251576,28.6263259,77.2216316
267251583,28.6263321,77.2222177
267251585,28.6229856,77.2239929
267253203,28.6220388,77.211672
267253204,28.6184247,77.2155939
267253206,28.6210967,77.2145461
267253207,28.6193468,77.2144889
267253209,28.6216431,77.2136643
267253210,28.6235903,77.1999895
267253212,28.6237296,77.1998231
267253217,28.6241313,77.1998363
267253220,28.6242118,77.2000503
267253222,28.6241531,77.2003649
267253223,28.6239984,77.2004925
267253224,28.623867,77.2005124
267253225,28.6237603,77.2004815
267253227,28.6236372,77.2003754
267253228,28.6235732,77.2002309
267253229,28.624156,77.2005976
267253230,28.6244898,77.2012196
267253231,28.6242748,77.2005055
267253232,28.6264685,77.2056555
267253233,28.6265893,77.2057221
267259244,28.6287263,77.2083305
267259245,28.6299956,77.2083499
267259246,28.6298502,77.2098072
267259248,28.6259363,77.20661
267259249,28.6208803,77.2062517
267259250,28.6235987,77.2008258
267259251,28.6207043,77.2058727
267259252,28.6228987,77.2020945
267259253,28.6249288,77.206458
267259254,28.6224835,77.2107321
267259255,28.6237829,77.2021643
267259256,28.6246654,77.2016133
267259257,28.6253426,77.2056328
267259259,28.6253214,77.2075634
267259260,28.6238102,77.2102117
267259261,28.6236141,77.2106274
267259262,28.6235454,77.2116022
267259263,28.6238889,77.211879
267259264,28.6221686,77.2107739
267259265,28.6215818,77.209168
267259266,28.6220134,77.2090833
267259267,28.6225161,77.2091774
267259268,28.622735,77.2093181
267259269,28.6231232,77.2095859
267259270,28.6202778,77.2065585
267259271,28.6201412,77.2062236
267259272,28.6201559,77.2063495
267259273,28.6204697,77.2066498
267259274,28.6206744,77.2066085
267259275,28.6207726,77.2065277
267259276,28.6208681,77.2061287
267259277,28.6205727,77.2058174
267259278,28.6203485,77.2058538
267259279,28.6202228,77.205968
267259280,28.6217061,77.2089103
267259281,28.6208083,77.2096506
267259282,28.6202874,77.2103967
267259283,28.6224778,77.2050673
267259284,28.6224681,77.2047954
267259285,28.6225846,77.204594
267259287,28.6228498,77.2045041
267259288,28.6230055,77.2045535
267259289,28.6231528,77.2047366
267259290,28.6231877,77.2049321
267259291,28.623135,77.2051321
267259292,28.6229971,77.2052826
267259298,28.6227607,77.2053286
267259305,28.622588,77.2052399
267259313,28.6217811,77.2055717
267259320,28.62177,77.2062749
267259322,28.6241064,77.2064255
