src,dst
3742418072,6213742115
6213742115,10264362708
10264362708,6213742118
6213742118,3749161031
3749161031,10264362704
10264362704,3742418070
3742418070,12246292753
12246292753,3742418069
3742418069,3742418068
267249955,3742418060
3742418060,3742418065
3742418065,10264384010
10264384010,10264384009
10264384009,6213742119
6213742119,3742418071
3742418071,10264384033
10264384033,3742418074
3742418074,3742418075
3742418075,3742418073
267249967,267249968
267249968,267249969
267249969,3742556270
3742556270,10264328244
10264328244,5977448436
5977448436,267249954
267249954,5977448432
5977448432,267249955
267249964,3742418050
3742418050,12246292750
12246292750,7429323040
7429323040,7429323052
7429323052,10255011718
10255011718,7135635375
7135635375,7135635383
7135635383,3742418044
3742418044,11917919919
11917919919,3742418042
3742418042,3742418041
3742418041,3742418043
9794183553,11002612717
11002612717,10264303918
10264303918,12185793068
12185793068,11002612713
11002612713,12185793079
12185793079,267251009
267251009,13506319792
13506319792,12185793086
12185793086,9182157245
9182157245,9859502219
9859502219,9182157243
9182157243,12185793027
12185793027,12185793030
12185793030,267250998
267250998,9857860370
9857860370,267250999
267250999,9859502220
9859502220,10264303951
10264303951,5487506616
5487506616,5487506617
4083435383,10248624596
10248624596,5799521554
5799521554,267251002
267251002,5799521436
5799521436,5799521555
5799521555,5799521437
5799521437,1191294728
1191294728,10248624591
10248624591,5799521565
5799521565,9179109960
9179109960,10230413737
10230413737,13439866813
13439866813,1191294714
1191294714,5799521446
5799521446,5799521447
5799521447,267251003
267251003,2431986263
2431986263,10264290716
10264290716,10264290723
10264290723,267251004
267251004,9857860404
9857860404,267251005
267251005,10264290717
10264290717,267251006
267251007,9857860403
9857860403,9857860402
9857860402,1191294663
1191294663,10264255649
10264255649,10264255651
10264255651,10264255654
10264255654,10264255657
10264255657,10264219707
10264219707,10264255660
10264255660,10264219701
10264219701,267251006
267251006,10264303936
10264303936,12319493478
12319493478,267251008
267251008,10264303945
10264303945,12319493497
12319493497,267250999
12728184167,267251012
267251012,9883191550
9883191550,9858009551
9858009551,267251013
267251013,9858009550
9858009550,267251015
267251015,2431986246
2431986246,9858009549
9858009549,10254996216
10254996216,9858009548
9858009548,5434483908
267251014,6643539684
6643539684,267251015
267249959,267251016
267251016,267249960
267251016,12246292752
12246292752,10264321687
10264321687,10264321697
10264321697,10264321690
10264321690,10264321681
10264321681,9858009553
9858009553,3749161040
3749161040,10264321662
10264321662,9858009552
9858009552,6436618073
6436618073,10264321660
10264321660,3749161050
3749161050,267251018
267251018,10264321658
10264321658,10264334450
10264334450,5682467523
5682467523,5682466820
5681450592,11652541099
11652541099,267251572
267251572,9858009531
9858009531,9858009532
9858009532,267196337
267196337,6436172961
6436172961,267251585
267251585,10255311455
10255311455,267251573
267251573,1309626431
10255100650,5681450591
267249967,12246292749
12246292749,10264318164
10264318164,10264384056
10264384056,10264384052
10264384052,267253204
10264328243,267253206
267253206,9858009522
9858009522,3742556247
3742556247,10264384042
10264384042,267253207
267253206,9858009517
9858009517,267253209
9794237536,267253227
267253227,13093899428
13093899428,267253228
267253228,621248406
621248406,267253210
267253210,267253212
267253212,4930107699
4930107699,4930107698
4930107698,266807277
267259245,7232925569
7232925569,267259246
267259246,6436605521
6436605521,6436605522
6436605522,9179118876
9179118876,10264255636
10264255636,9179118871
9179118871,10262384322
10262384322,3661513068
5485189721,5802016575
5802016575,13523964243
13523964243,1271972164
1271972164,5485189119
5485189119,5485189120
5485189120,267259248
267259248,6720393134
6720393134,5802016587
5802016587,5802016584
5802016584,6720393131
6720393131,6720393132
6720393132,5802016590
5802016590,6720393128
6720393128,5802016592
5802016592,6720393114
6720393114,6436625369
6436625369,6720393116
6720393116,10264640742
10264640742,6720393117
6720393117,6720393118
6720393118,10264640745
10264640745,10264640743
10264640743,6720393119
6720393119,10264645121
10264645121,6720393120
6720393120,6720393121
6720393121,10264640782
10264640782,6720393122
6720393122,10264640784
10264640784,6720393123
6720393123,6720393126
6720393126,6720393124
6720393124,6720393125
6720393125,5483954454
6720393108,6720393107
6720393107,6720393106
6720393106,6720393110
6720393110,6720393109
6720393109,267259320
267259320,10264645122
10264645122,10264645130
10264645130,6720393112
6720393112,12543053338
12543053338,6720393113
6720393113,267259322
267259322,6720393115
6720393115,10264764670
10264764670,5802016595
5802016595,5802016596
5802016596,6720393127
6720393127,5802016589
5802016589,5802016588
5802016588,6720393130
6720393130,6720393129
6720393129,267259253
267259253,6720393133
6720393133,5802016594
5802016594,5802016591
5802016591,5802016593
5802016593,5485189764
5485189764,13523964242
13523964242,1271972181
1271972181,5485189730
5485189730,5485189763
5485189763,267249900
267253224,13382754571
13382754571,12535380846
12535380846,11792878924
11792878924,9794237535
9794237535,9794237532
9794237532,12231569423
12231569423,12231569418
12231569418,12231547557
12231547557,12231547553
12231547553,12231547572
12231547572,9794237533
9794237533,12223581998
12223581998,11773322155
11773322155,9794237537
267259250,267253225
267259251,11773322156
11773322156,6436821126
6436821126,12325499131
12325499131,12325499150
12325499150,12325502744
12325502744,12325502707
12325502707,267259325
267259325,12325499192
12325499192,267259252
267259252,267259455
267259455,11792878925
11792878925,267259250
267259256,12535380864
12535380864,10264764703
10264764703,267259255
5802016582,6720393131
6720393131,5802016580
5802016580,5802016585
5802016585,6436625363
6436625363,267259269
267259269,267259254
5802016594,9843555979
9843555979,9843555978
9843555978,267259257
267259257,10264764665
10264764665,10264764659
10264764659,9843555975
9843555975,9843555977
9843555977,10264764676
10264764676,10264764680
10264764680,267259255
5802016585,9843616375
9843616375,9843616374
9843616374,5802016586
5802016586,9843616373
9843616373,9843616372
9843616372,267259259
267259259,267259260
267259260,267259261
267259261,9858009559
9858009559,3555511597
3555511597,267259262
267259280,5792664523
5792664523,5792664506
5792664506,5792664507
5792664507,5792664505
5792664505,267259266
267259265,6720393105
6720393105,9859508693
1368046429,10869887205
10869887205,9843742115
9843742115,9843742070
9843742070,267259270
267259274,5483954450
5483954450,621248440
621248440,5483954451
5483954451,267259273
267259273,5483954449
5483954449,621248441
621248441,5483954448
5483954448,267259270
267259270,5483954447
5483954447,621248442
621248442,5483954446
5483954446,6720393087
5792664508,10264640770
10264640770,267259274
267259283,621248364
621248364,267259284
267259284,621248367
621248367,267259285
267259285,621248368
621248368,6720393111
6720393111,267259287
267259287,621248369
621248369,267259288
267259288,621248372
621248372,267259289
267259289,267259290
267259290,267259291
267259291,621248375
621248375,267259292
267259292,621248377
621248377,10264645128
10264645128,267259298
267259298,267259305
267259305,267259283
267259283,12231547580
12231547580,6436821125
6436821125,9843555980
9843555980,267259313
267259313,267259320
267259320,6720393121
6720393121,9843616371
9843616371,9843616370
9843616370,943560347
943560347,10264640765
10264640765,943560162
943560162,943560525
943560525,9843958844
9843958844,9843958845
9843958845,943560345
267259291,9843555972
267259287,267259323
267259323,9843555981
9843555981,267259324
267259324,9794237532
9794237532,267259325
267253228,10780915184
10780915184,267259327
267259327,267253210
267259412,6773338029
6773338029,267259390
267259390,6773338028
6773338028,4156355790
4156355790,6773338027
6773338027,267259376
267259376,6773338026
6773338026,8757909138
8757909138,267259371
267259371,9798407617
9798407617,4156355791
4156355791,8757909137
8757909137,267259359
267259359,6776599579
6776599579,267259334
267259334,267259333
267259333,267259332
267259332,4156355792
